id	de	en	
TutorialPage0	"Überall in der Öffentlichkeit sind Schilder. Sie zeigen Orte, Geschäfte oder Veranstaltungen an. Egal ob einsprachig oder mehrsprachig, Schilder tragen dazu bei, die sprachliche Landschaft (""Linguistic Landscape"") eines Landes zu gestalten.\nLingscape ist eine App, mit der die vielfältige Linguistic Landscape in Luxemburg dokumentiert werden soll. Sie bietet die Möglichkeit, Fotos von Schildern und Beschriftungen zu machen und diese auf eine interaktive Karte hochzuladen.\nHilf uns dabei, möglichst viele Bilder von Schildern in Luxemburg zu sammeln. Werde Teil von Lingscape, indem du Fotos von Schildern in deiner Umgebung machst. So kannst du helfen, Daten für die Forschung zu sammeln."	"Überall in der Öffentlichkeit sind Schilder. Sie zeigen Orte, Geschäfte oder Veranstaltungen an. Egal ob einsprachig oder mehrsprachig, Schilder tragen dazu bei, die sprachliche Landschaft (""Linguistic Landscape"") eines Landes zu gestalten.\nLingscape ist eine App, mit der die vielfältige Linguistic Landscape in Luxemburg dokumentiert werden soll. Sie bietet die Möglichkeit, Fotos von Schildern und Beschriftungen zu machen und diese auf eine interaktive Karte hochzuladen.\nHilf uns dabei, möglichst viele Bilder von Schildern in Luxemburg zu sammeln. Werde Teil von Lingscape, indem du Fotos von Schildern in deiner Umgebung machst. So kannst du helfen, Daten für die Forschung zu sammeln."	
TutorialPage1	Auf der Karte kannst du dir alle Fotos anschauen, die bereits hochgeladen wurden. Jeder Pin steht für ein Schild, das bereits zur Karte hinzugefügt wurde. Tippst du auf einen Pin, werden eine Bildvorschau und weitere Informationen angezeigt. Tippst du dann auf das Bild, gelangst du zur Detailansicht. Du kannst Bilder mit deinen Freunden teilen oder unpassende Bilder an uns melden (z.B. Werbung oder anstößige Motive).\n\nSchau dir an, was für Schilder andere Nutzer schon hochgeladen haben, um zu sehen, welche Arten von Schildern und Beschriftungen wir sammeln.	Auf der Karte kannst du dir alle Fotos anschauen, die bereits hochgeladen wurden. Jeder Pin steht für ein Schild, das bereits zur Karte hinzugefügt wurde. Tippst du auf einen Pin, werden eine Bildvorschau und weitere Informationen angezeigt. Tippst du dann auf das Bild, gelangst du zur Detailansicht. Du kannst Bilder mit deinen Freunden teilen oder unpassende Bilder an uns melden (z.B. Werbung oder anstößige Motive).\n\nSchau dir an, was für Schilder andere Nutzer schon hochgeladen haben, um zu sehen, welche Arten von Schildern und Beschriftungen wir sammeln.	
TutorialPage2	"Mit dem Button ""Bild hinzufügen"" kannst du Bilder auf die Karte hochladen. Wichtig ist dabei, daß es sich um öffentliche Schilder und Beschriftungen handelt. Egal ob einzelne Schilder in einer Sprache, mehrere Schilder nebeneinander in verschiedenen Sprachen oder mehrsprachige Schilder – all diese Motive eigenen sich für den Upload.\n\nDu kannst ein neues Foto mit deiner Kamera aufnehmen oder ein bereits vorhandenes aus deiner Bibliothek auswählen. Das Foto kann nachträglich beschnitten und mit Informationen wie Sprachen und einem Kommentar versehen werden. Besonders wichtig ist der exakte Standort des Schildes. Achte bei der Lokalisierung darauf, möglichst genau anzugeben, wo sich das Schild befindet."	"Mit dem Button ""Bild hinzufügen"" kannst du Bilder auf die Karte hochladen. Wichtig ist dabei, daß es sich um öffentliche Schilder und Beschriftungen handelt. Egal ob einzelne Schilder in einer Sprache, mehrere Schilder nebeneinander in verschiedenen Sprachen oder mehrsprachige Schilder – all diese Motive eigenen sich für den Upload.\n\nDu kannst ein neues Foto mit deiner Kamera aufnehmen oder ein bereits vorhandenes aus deiner Bibliothek auswählen. Das Foto kann nachträglich beschnitten und mit Informationen wie Sprachen und einem Kommentar versehen werden. Besonders wichtig ist der exakte Standort des Schildes. Achte bei der Lokalisierung darauf, möglichst genau anzugeben, wo sich das Schild befindet."	
TutorialPage3	Zum Schluss von ein paar Tipps für möglichst gute Fotos:\n● Das Schild sollte vollständig auf dem Bild zu sehen sein und möglichst wenig von der Umgebung zeigen.\n● Mache nur Bilder an öffentlichen Orten. Für private Umgebungen gelten besondere rechtliche Bestimmungen.\n● Das Schild sollte gut lesbar sein. Mach die Fotos am besten tagsüber und ohne Blitz.\n\nInformationen zu Datenschutz und Urheberrechten findest du unter dem Info-Symbol oben rechts. Dort kannst du dieses Tutorial auch noch einmal lesen.	Zum Schluss von ein paar Tipps für möglichst gute Fotos:\n● Das Schild sollte vollständig auf dem Bild zu sehen sein und möglichst wenig von der Umgebung zeigen.\n● Mache nur Bilder an öffentlichen Orten. Für private Umgebungen gelten besondere rechtliche Bestimmungen.\n● Das Schild sollte gut lesbar sein. Mach die Fotos am besten tagsüber und ohne Blitz.\n\nInformationen zu Datenschutz und Urheberrechten findest du unter dem Info-Symbol oben rechts. Dort kannst du dieses Tutorial auch noch einmal lesen.	
TutorialPage4	"OK, das wars schon.\n\nBevor du loslegen kannst, noch folgender Hinweis:\nIndem du unten auf den Button ""Los geht's"" klickst, bestätigst du, daß du dem Team von Lingscape das Recht einräumst, die von dir hochgeladenen Bilder in der App zu veröffentlichen und zu Zwecken der Forschung zu nutzen. Deine Urheberrechte bleiben hiervon unbenommen. Mehr Details findest du in den Geschäftsbedingungen. \n\nWir danken dir für dein Engagement bei Lingscape und freuen uns auf deine Fotos!"	"OK, das wars schon.\n\nBevor du loslegen kannst, noch folgender Hinweis:\nIndem du unten auf den Button ""Los geht's"" klickst, bestätigst du, daß du dem Team von Lingscape das Recht einräumst, die von dir hochgeladenen Bilder in der App zu veröffentlichen und zu Zwecken der Forschung zu nutzen. Deine Urheberrechte bleiben hiervon unbenommen. Mehr Details findest du in den Geschäftsbedingungen. \n\nWir danken dir für dein Engagement bei Lingscape und freuen uns auf deine Fotos!"	
TutorialTitle0	Einführung	Einführung	
TutorialTitle1	Karte ansehen	Karte ansehen	
TutorialTitle2	Fotos machen	Fotos machen	
TutorialTitle3	Hinweise	Hinweise	
TutorialTitle4	Los geht's	Los geht's	
Back	Zurück	Back	
Add Comment...	Einen Kommentar hinzufügen...	Add Comment...	
Satellite	Satellit	Satellite	
Map	Karte	Map	
Add	Hinzufügen	Add	
Congrats, your photo has been uploaded. It's your %@ and all total photos are %@!	Glückwunsch, dein Bild wurde hochgeladen! Du hast schon %@ Bilder hinzugefügt, und insgesamt haben wir %@ Bilder gesammelt.	Congrats, your photo has been uploaded. It's your %@ and all total photos are %@!	
Info	Info	Info	
Cancel	Abbrechen	Cancel	
About us	Über uns	About us	
Where was this image taken? Short tap on map to set position	Wo genau wurde Bild gemacht? Tippe kurz\nauf die Karte, um den Ort zu bestimmen	Where was this image taken? Short tap on map to set position	
This device is unable to send emails. Please check mail settings	Dieses Gerät hat keinen Email Account eingerichtet. Bitte einrichten und nochmals versuchen	This device is unable to send emails. Please check mail settings	
Couldn't determine address	Adresse konnte nicht ermittelt werden	Couldn't determine address	
Successfully saved image to camera roll	Bild erfolgreich gespeichert	Successfully saved image to camera roll	
Couldn't save image to camera roll	Bild konnte nicht gespeichert werden	Couldn't save image to camera roll	
Choose image source	Bildquelle wählen	Choose image source	
Library	Bibliothek	Library	
Camera	Kamera	Camera	
How to use the app	Tutorial	How to use the app	
Share	Bild teilen	Share	
Report	Bild melden	Report	
Submit photo	Bild hochladen	Submit photo	
Use this image	Dieses Bild verwenden	Use this image	
Add new photo	Bild hinzufügen	Add new photo	
Lingscape	Lingscape	Lingscape	
Location services are disabled	Standortdienste sind ausgeschaltet	Location services are disabled	
OK	OK	OK	
Settings	Einstellungen	Settings	
Report LuxApp Image %@	Lingscape Bild Nr. %@	Report LuxApp Image %@	
Place: %@, %@\nWhy I report this image:	Standort: %@, %@\nDeshalb melde ich dieses Bild:	Place: %@, %@\nWhy I report this image:	
Add all languages visible in your photo	Welche Sprachen sind auf dem Bild zu sehen?	Add all languages visible in your photo	
Got it!	Alles klar!	Got it!	
Agree and start now	Los geht's	Agree and start now	
Pinch and zoom to select area	Zoome und stauche, um das Bild zuzuschneiden		
Select this position	Diesen Ort verwenden		
Terms and conditions	Geschäftsbedingungen	Geschäftsbedingungen	
